"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2013,1,1,1549,1445,64,1912,1656,136,"EV",4181,"N21197","EWR","MCI",234,1092,14,45,"2013-01-01T19:00:00Z"
2013,1,1,1558,1534,24,1808,1703,65,"EV",4502,"N16546","EWR","BNA",168,748,15,34,"2013-01-01T20:00:00Z"
2013,1,1,1558,1359,119,1718,1515,123,"EV",5712,"N826AS","JFK","IAD",53,228,13,59,"2013-01-01T18:00:00Z"
2013,1,1,1604,1510,54,1817,1710,67,"MQ",4579,"N0EGMQ","LGA","CLT",106,544,15,10,"2013-01-01T20:00:00Z"
2013,1,1,1607,1443,84,1711,1553,78,"UA",465,"N435UA","EWR","BOS",35,200,14,43,"2013-01-01T19:00:00Z"
2013,1,1,1608,1535,33,2002,1850,72,"AA",763,"N3GKAA","LGA","DFW",249,1389,15,35,"2013-01-01T20:00:00Z"
2013,1,1,1627,1459,88,1925,1805,80,"B6",63,"N599JB","JFK","TPA",159,1005,14,59,"2013-01-01T19:00:00Z"
2013,1,1,1630,1548,42,1902,1755,67,"EV",4352,"N22909","EWR","CVG",121,569,15,48,"2013-01-01T20:00:00Z"
2013,1,1,1639,1517,82,1815,1639,96,"EV",4580,"N16561","EWR","MKE",140,725,15,17,"2013-01-01T20:00:00Z"
2013,1,1,1711,1600,71,2005,1857,68,"B6",369,"N579JB","LGA","PBI",149,1035,16,0,"2013-01-01T21:00:00Z"
2013,1,1,1716,1545,91,2140,2039,61,"B6",703,"N651JB","JFK","SJU",183,1598,15,45,"2013-01-01T20:00:00Z"
2013,1,1,1728,1600,88,2004,1817,107,"EV",3843,"N13903","EWR","SDF",135,642,16,0,"2013-01-01T21:00:00Z"
2013,1,1,1732,1630,62,2028,1825,123,"EV",4092,"N16911","EWR","DAY",119,533,16,30,"2013-01-01T21:00:00Z"
2013,1,1,1740,1630,70,2102,1954,68,"DL",2139,"N369NW","LGA","MIA",167,1096,16,30,"2013-01-01T21:00:00Z"
2013,1,1,1743,1615,88,1925,1819,66,"9E",3651,"N8515F","JFK","RDU",72,427,16,15,"2013-01-01T21:00:00Z"
2013,1,1,1751,1745,6,2015,1910,65,"WN",3384,"N764SW","EWR","MDW",148,711,17,45,"2013-01-01T22:00:00Z"
2013,1,1,1803,1620,103,2008,1750,138,"MQ",4622,"N504MQ","LGA","BNA",154,764,16,20,"2013-01-01T21:00:00Z"
2013,1,1,1814,1700,74,2051,1855,116,"EV",4202,"N19966","EWR","STL",177,872,17,0,"2013-01-01T22:00:00Z"
2013,1,1,1815,1325,290,2120,1542,338,"EV",4417,"N17185","EWR","OMA",213,1134,13,25,"2013-01-01T18:00:00Z"
2013,1,1,1836,1726,70,2107,1933,94,"EV",4179,"N14543","EWR","CVG",123,569,17,26,"2013-01-01T22:00:00Z"
2013,1,1,1842,1422,260,1958,1535,263,"EV",4633,"N18120","EWR","BTV",46,266,14,22,"2013-01-01T19:00:00Z"
2013,1,1,1848,1745,63,2238,2120,78,"AA",177,"N332AA","JFK","SFO",361,2586,17,45,"2013-01-01T22:00:00Z"
2013,1,1,1856,1645,131,2212,2005,127,"AA",181,"N323AA","JFK","LAX",336,2475,16,45,"2013-01-01T21:00:00Z"
2013,1,1,1930,1745,105,2233,2112,81,"DL",503,"N3764D","JFK","SAN",333,2446,17,45,"2013-01-01T22:00:00Z"
2013,1,1,1934,1725,129,2126,1855,151,"MQ",4255,"N909MQ","JFK","BNA",154,765,17,25,"2013-01-01T22:00:00Z"
2013,1,1,1938,1703,155,2109,1823,166,"EV",4300,"N18557","EWR","RIC",68,277,17,3,"2013-01-01T22:00:00Z"
2013,1,1,1942,1705,157,2124,1830,174,"MQ",4410,"N835MQ","JFK","DCA",60,213,17,5,"2013-01-01T22:00:00Z"
2013,1,1,2000,1930,30,2255,2140,75,"EV",4361,"N12567","EWR","TYS",138,631,19,30,"2013-01-02T00:00:00Z"
2013,1,1,2006,1630,216,2230,1848,222,"EV",4644,"N14972","EWR","SAV",121,708,16,30,"2013-01-01T21:00:00Z"
2013,1,1,2008,1855,73,2223,2100,83,"MQ",4649,"N527MQ","LGA","MSP",163,1020,18,55,"2013-01-01T23:00:00Z"
2013,1,1,2009,1808,121,2145,1942,123,"EV",4440,"N14143","EWR","PIT",65,319,18,8,"2013-01-01T23:00:00Z"
2013,1,1,2024,1835,109,2328,2157,91,"B6",359,"N607JB","JFK","BUR",328,2465,18,35,"2013-01-01T23:00:00Z"
2013,1,1,2056,1944,72,2210,2109,61,"EV",4692,"N11536","EWR","IAD",51,212,19,44,"2013-01-02T00:00:00Z"
2013,1,1,2115,1700,255,2330,1920,250,"9E",3347,"N924XJ","JFK","CVG",115,589,17,0,"2013-01-01T22:00:00Z"
2013,1,1,2119,1930,109,2358,2136,142,"EV",4543,"N13123","EWR","DSM",200,1017,19,30,"2013-01-02T00:00:00Z"
2013,1,1,2205,1720,285,46,2040,246,"AA",1999,"N5DNAA","EWR","MIA",146,1085,17,20,"2013-01-01T22:00:00Z"
2013,1,1,2217,2130,47,140,27,73,"B6",21,"N516JB","JFK","TPA",163,1005,21,30,"2013-01-02T02:00:00Z"
2013,1,1,2221,2000,141,2331,2124,127,"EV",4462,"N13566","EWR","BUF",56,282,20,0,"2013-01-02T01:00:00Z"
2013,1,1,2312,2000,192,21,2110,191,"EV",4312,"N13958","EWR","DCA",44,199,20,0,"2013-01-02T01:00:00Z"
2013,1,1,2323,2200,83,22,2313,69,"EV",4257,"N13538","EWR","BTV",44,266,22,0,"2013-01-02T03:00:00Z"
2013,1,1,2326,2130,116,131,18,73,"B6",199,"N594JB","JFK","LAS",290,2248,21,30,"2013-01-02T02:00:00Z"
2013,1,1,2343,1724,379,314,1938,456,"EV",4321,"N21197","EWR","MCI",222,1092,17,24,"2013-01-01T22:00:00Z"
2013,1,2,126,2250,156,233,2359,154,"B6",22,"N636JB","JFK","SYR",49,209,22,50,"2013-01-03T03:00:00Z"
2013,1,2,720,600,80,905,735,90,"MQ",3768,"N520MQ","EWR","ORD",112,719,6,0,"2013-01-02T11:00:00Z"
2013,1,2,754,635,79,900,745,75,"EV",4241,"N22909","EWR","DCA",46,199,6,35,"2013-01-02T11:00:00Z"
2013,1,2,817,630,107,1107,845,142,"EV",4235,"N16546","EWR","IND",132,645,6,30,"2013-01-02T11:00:00Z"
2013,1,2,833,558,155,1018,727,171,"UA",651,"N448UA","EWR","ORD",129,719,5,58,"2013-01-02T10:00:00Z"
2013,1,2,841,845,-4,1134,1024,70,"9E",3754,"N829AY","JFK","BUF",59,301,8,45,"2013-01-02T13:00:00Z"
2013,1,2,850,804,46,1112,1007,65,"EV",4537,"N11547","EWR","MEM",178,946,8,4,"2013-01-02T13:00:00Z"
2013,1,2,923,624,179,1051,758,173,"EV",4104,"N13975","EWR","PIT",61,319,6,24,"2013-01-02T11:00:00Z"
2013,1,2,928,813,75,1212,1048,84,"EV",4388,"N18557","EWR","JAX",137,820,8,13,"2013-01-02T13:00:00Z"
2013,1,2,928,905,23,1331,1229,62,"B6",1061,"N184JB","JFK","AUS",251,1521,9,5,"2013-01-02T14:00:00Z"
2013,1,2,928,825,63,1203,1024,99,"US",487,"N651AW","JFK","CLT",103,541,8,25,"2013-01-02T13:00:00Z"
2013,1,2,944,800,104,1051,914,97,"EV",4159,"N13538","EWR","MHT",41,209,8,0,"2013-01-02T13:00:00Z"
2013,1,2,951,900,51,1157,1045,72,"EV",4548,"N14916","EWR","RDU",82,416,9,0,"2013-01-02T14:00:00Z"
2013,1,2,1003,820,103,1105,940,85,"9E",3694,"N8968E","JFK","BWI",39,184,8,20,"2013-01-02T13:00:00Z"
2013,1,2,1033,929,64,1235,1132,63,"EV",4175,"N13914","EWR","AVL",100,583,9,29,"2013-01-02T14:00:00Z"
2013,1,2,1045,959,46,1242,1129,73,"MQ",4670,"N542MQ","LGA","BNA",134,764,9,59,"2013-01-02T14:00:00Z"
2013,1,2,1055,915,100,1349,1211,98,"B6",41,"N591JB","JFK","MCO",144,944,9,15,"2013-01-02T14:00:00Z"
2013,1,2,1228,1045,103,1354,1212,102,"EV",4322,"N16919","EWR","MKE",131,725,10,45,"2013-01-02T15:00:00Z"
2013,1,2,1244,900,224,1431,1104,207,"EV",4412,"N13958","EWR","MYR",94,550,9,0,"2013-01-02T14:00:00Z"
2013,1,2,1331,1201,90,1441,1318,83,"EV",4511,"N13975","EWR","ROC",48,246,12,1,"2013-01-02T17:00:00Z"
2013,1,2,1332,904,268,1616,1128,288,"EV",4364,"N41104","EWR","MCI",203,1092,9,4,"2013-01-02T14:00:00Z"
2013,1,2,1340,1229,71,1603,1427,96,"EV",4135,"N31131","EWR","CLT",105,529,12,29,"2013-01-02T17:00:00Z"
2013,1,2,1341,1200,101,1627,1440,107,"DL",1947,"N973DL","LGA","ATL",126,762,12,0,"2013-01-02T17:00:00Z"
2013,1,2,1412,838,334,1710,1147,323,"UA",468,"N474UA","EWR","MCO",150,937,8,38,"2013-01-02T13:00:00Z"
2013,1,2,1438,1323,75,1651,1526,85,"EV",4516,"N14916","EWR","MEM",179,946,13,23,"2013-01-02T18:00:00Z"
2013,1,2,1451,1232,139,1749,1533,136,"UA",1121,"N33284","EWR","FLL",158,1065,12,32,"2013-01-02T17:00:00Z"
2013,1,2,1519,1410,69,1700,1555,65,"MQ",4491,"N719MQ","LGA","CLE",70,419,14,10,"2013-01-02T19:00:00Z"
2013,1,2,1528,1349,99,1755,1556,119,"EV",4090,"N18557","EWR","CVG",121,569,13,49,"2013-01-02T18:00:00Z"
2013,1,2,1548,1340,128,1710,1500,130,"EV",4617,"N10575","EWR","PIT",63,319,13,40,"2013-01-02T18:00:00Z"
2013,1,2,1555,1445,70,1845,1656,109,"EV",4181,"N13123","EWR","MCI",211,1092,14,45,"2013-01-02T19:00:00Z"
2013,1,2,1558,1600,-2,1923,1820,63,"MQ",3985,"N627MQ","JFK","CVG",118,589,16,0,"2013-01-02T21:00:00Z"
2013,1,2,1600,1501,59,1800,1651,69,"EV",5675,"N16976","EWR","CMH",92,463,15,1,"2013-01-02T20:00:00Z"
2013,1,2,1603,1517,46,1800,1639,81,"EV",4580,"N13968","EWR","MKE",154,725,15,17,"2013-01-02T20:00:00Z"
2013,1,2,1607,1030,337,2003,1355,368,"AA",179,"N324AA","JFK","SFO",346,2586,10,30,"2013-01-02T15:00:00Z"
2013,1,2,1609,1453,76,1710,1603,67,"EV",4372,"N11547","EWR","DCA",41,199,14,53,"2013-01-02T19:00:00Z"
2013,1,2,1625,1444,101,1744,1602,102,"EV",4292,"N22909","EWR","IAD",57,212,14,44,"2013-01-02T19:00:00Z"
2013,1,2,1642,1504,98,1757,1621,96,"EV",4390,"N15555","EWR","PWM",58,284,15,4,"2013-01-02T20:00:00Z"
2013,1,2,1704,1630,34,1958,1848,70,"EV",4645,"N17115","EWR","SAV",122,708,16,30,"2013-01-02T21:00:00Z"
2013,1,2,1710,1526,104,1857,1655,122,"EV",4502,"N21537","EWR","BNA",148,748,15,26,"2013-01-02T20:00:00Z"
2013,1,2,1714,1555,79,1837,1715,82,"WN",2521,"N483WN","EWR","MDW",127,711,15,55,"2013-01-02T20:00:00Z"
2013,1,2,1728,1557,91,1829,1707,82,"EV",4299,"N21129","EWR","DCA",39,199,15,57,"2013-01-02T20:00:00Z"
2013,1,2,1728,1515,133,1843,1632,131,"EV",4133,"N13975","EWR","IAD",48,212,15,15,"2013-01-02T20:00:00Z"
2013,1,2,1732,1625,67,2004,1855,69,"MQ",4661,"N531MQ","LGA","ATL",127,762,16,25,"2013-01-02T21:00:00Z"
2013,1,2,1746,1621,85,1835,1724,71,"EV",3260,"N14153","EWR","ALB",31,143,16,21,"2013-01-02T21:00:00Z"
2013,1,2,1751,1450,181,2041,1755,166,"AA",1813,"N5FFAA","JFK","MCO",149,944,14,50,"2013-01-02T19:00:00Z"
2013,1,2,1754,1639,75,1936,1816,80,"EV",4702,"N12567","EWR","GSO",83,445,16,39,"2013-01-02T21:00:00Z"
2013,1,2,1755,1547,128,1929,1708,141,"EV",3272,"N21130","EWR","BUF",51,282,15,47,"2013-01-02T20:00:00Z"
2013,1,2,1759,1644,75,1902,1753,69,"EV",4180,"N21154","EWR","MHT",39,209,16,44,"2013-01-02T21:00:00Z"
2013,1,2,1802,1620,102,2146,1959,107,"US",35,"N510UW","JFK","PHX",312,2153,16,20,"2013-01-02T21:00:00Z"
2013,1,2,1804,1639,85,2050,1911,99,"EV",4705,"N14558","EWR","ATL",137,746,16,39,"2013-01-02T21:00:00Z"
2013,1,2,1806,1629,97,2008,1808,120,"EV",4308,"N13550","EWR","RDU",78,416,16,29,"2013-01-02T21:00:00Z"
2013,1,2,1810,1703,67,1948,1823,85,"EV",4272,"N13988","EWR","RIC",53,277,17,3,"2013-01-02T22:00:00Z"
2013,1,2,1810,1655,75,2146,2000,106,"WN",2529,"N901WN","EWR","HOU",243,1411,16,55,"2013-01-02T21:00:00Z"
2013,1,2,1821,1714,67,1945,1824,81,"EV",4373,"N14542","EWR","DCA",44,199,17,14,"2013-01-02T22:00:00Z"
2013,1,2,1829,1722,67,1940,1823,77,"EV",4151,"N15986","EWR","BWI",35,169,17,22,"2013-01-02T22:00:00Z"
2013,1,2,1845,1645,120,2137,1859,158,"9E",3983,"N8412F","EWR","CVG",131,569,16,45,"2013-01-02T21:00:00Z"
2013,1,2,1848,1701,107,2112,1856,136,"EV",4202,"N14953","EWR","STL",176,872,17,1,"2013-01-02T22:00:00Z"
2013,1,2,1909,1621,168,2116,1816,180,"EV",4092,"N13553","EWR","DAY",102,533,16,21,"2013-01-02T21:00:00Z"
2013,1,2,1933,1750,103,2227,2045,102,"B6",527,"N632JB","EWR","MCO",150,937,17,50,"2013-01-02T22:00:00Z"
2013,1,2,1934,1745,109,2302,2106,116,"DL",1433,"N369NW","LGA","RSW",178,1080,17,45,"2013-01-02T22:00:00Z"
2013,1,2,1940,1909,31,2226,2122,64,"EV",4085,"N12135","EWR","OMA",208,1134,19,9,"2013-01-03T00:00:00Z"
2013,1,2,1943,1823,80,2048,1940,68,"EV",4326,"N11547","EWR","PWM",48,284,18,23,"2013-01-02T23:00:00Z"
2013,1,2,2001,1929,32,2330,2206,84,"EV",4333,"N14204","EWR","TUL",250,1215,19,29,"2013-01-03T00:00:00Z"
2013,1,2,2005,1705,180,2126,1830,176,"MQ",4410,"N810MQ","JFK","DCA",49,213,17,5,"2013-01-02T22:00:00Z"
2013,1,2,2032,1855,97,2314,2146,88,"9E",3364,"N919XJ","JFK","MSY",202,1182,18,55,"2013-01-02T23:00:00Z"
2013,1,2,2043,1759,164,2251,1949,182,"EV",4581,"N18557","EWR","CMH",103,463,17,59,"2013-01-02T22:00:00Z"
2013,1,2,2045,1930,75,2302,2140,82,"EV",4361,"N14993","EWR","TYS",116,631,19,30,"2013-01-03T00:00:00Z"
2013,1,2,2051,1929,82,2256,2133,83,"EV",4532,"N14153","EWR","CHS",105,628,19,29,"2013-01-03T00:00:00Z"
2013,1,2,2115,1837,158,2322,2045,157,"EV",4125,"N41104","EWR","GRR",113,605,18,37,"2013-01-02T23:00:00Z"
2013,1,2,2131,1512,379,2340,1741,359,"UA",488,"N593UA","LGA","DEN",228,1620,15,12,"2013-01-02T20:00:00Z"
2013,1,2,2145,1925,140,54,2244,130,"DL",2139,"N368NW","LGA","MIA",159,1096,19,25,"2013-01-03T00:00:00Z"
2013,1,2,2148,2004,104,2234,2112,82,"EV",4170,"N12540","EWR","ALB",30,143,20,4,"2013-01-03T01:00:00Z"
2013,1,2,2150,2005,105,2255,2126,89,"9E",4091,"N8976E","JFK","BWI",39,184,20,5,"2013-01-03T01:00:00Z"
2013,1,2,2225,1930,175,231,2219,252,"EV",4204,"N21130","EWR","OKC",286,1325,19,30,"2013-01-03T00:00:00Z"
2013,1,2,2259,2100,119,122,2332,110,"DL",1247,"N362NW","LGA","ATL",124,762,21,0,"2013-01-03T02:00:00Z"
2013,1,2,2313,2125,108,20,2240,100,"MQ",4449,"N810MQ","JFK","DCA",50,213,21,25,"2013-01-03T02:00:00Z"
2013,1,2,2334,2129,125,33,2242,111,"EV",4257,"N12567","EWR","BTV",47,266,21,29,"2013-01-03T02:00:00Z"
2013,1,2,2337,2155,102,222,41,101,"B6",43,"N821JB","JFK","MCO",140,944,21,55,"2013-01-03T02:00:00Z"
2013,1,2,2347,2245,62,58,2357,61,"B6",128,"N283JB","JFK","BTV",55,266,22,45,"2013-01-03T03:00:00Z"
2013,1,3,50,2145,185,203,2311,172,"B6",104,"N329JB","JFK","BUF",58,301,21,45,"2013-01-04T02:00:00Z"
2013,1,3,235,2359,156,700,437,143,"B6",727,"N618JB","JFK","BQN",186,1576,23,59,"2013-01-04T04:00:00Z"
2013,1,3,715,607,68,951,819,92,"EV",4559,"N18557","EWR","CVG",122,569,6,7,"2013-01-03T11:00:00Z"
2013,1,3,851,700,111,1206,1015,111,"AA",2279,"N3EWAA","LGA","MIA",167,1096,7,0,"2013-01-03T12:00:00Z"
2013,1,3,854,630,144,1057,810,167,"AA",303,"N3DFAA","LGA","ORD",133,733,6,30,"2013-01-03T11:00:00Z"
2013,1,3,909,700,129,1103,850,133,"AA",305,"N201AA","LGA","ORD",138,733,7,0,"2013-01-03T12:00:00Z"
2013,1,3,912,730,102,1258,1040,138,"AA",715,"N513AA","LGA","DFW",247,1389,7,30,"2013-01-03T12:00:00Z"
2013,1,3,916,805,71,1128,1005,83,"B6",219,"N283JB","JFK","CLT",98,541,8,5,"2013-01-03T13:00:00Z"
2013,1,3,937,755,102,1246,1110,96,"AA",2267,"N3BLAA","LGA","MIA",165,1096,7,55,"2013-01-03T12:00:00Z"
2013,1,3,944,745,119,1112,930,102,"AA",309,"N578AA","LGA","ORD",128,733,7,45,"2013-01-03T12:00:00Z"
2013,1,3,950,840,70,1142,1030,72,"MQ",4521,"N713MQ","LGA","RDU",84,431,8,40,"2013-01-03T13:00:00Z"
2013,1,3,1003,830,93,1150,1025,85,"AA",1855,"N569AA","LGA","STL",144,888,8,30,"2013-01-03T13:00:00Z"
2013,1,3,1014,830,104,1152,1015,97,"AA",313,"N494AA","LGA","ORD",125,733,8,30,"2013-01-03T13:00:00Z"
2013,1,3,1256,1216,40,1502,1401,61,"EV",4450,"N15555","EWR","CMH",102,463,12,16,"2013-01-03T17:00:00Z"
2013,1,3,1309,1229,40,1633,1526,67,"B6",27,"N198JB","JFK","TPA",177,1005,12,29,"2013-01-03T17:00:00Z"
2013,1,3,1321,1115,126,1450,1257,113,"EV",5273,"N612QX","LGA","PIT",66,335,11,15,"2013-01-03T16:00:00Z"
2013,1,3,1441,1335,66,1727,1608,79,"B6",615,"N267JB","JFK","JAX",143,828,13,35,"2013-01-03T18:00:00Z"
2013,1,3,1500,1355,65,1832,1711,81,"DL",2079,"N908DL","LGA","FLL",168,1076,13,55,"2013-01-03T18:00:00Z"
2013,1,3,1503,1221,162,1803,1555,128,"UA",551,"N835UA","EWR","SFO",320,2565,12,21,"2013-01-03T17:00:00Z"
2013,1,3,1549,1447,62,1804,1654,70,"EV",4572,"N13975","EWR","GSP",110,594,14,47,"2013-01-03T19:00:00Z"
2013,1,3,1624,1330,174,1900,1605,175,"DL",2043,"N392DA","JFK","ATL",140,760,13,30,"2013-01-03T18:00:00Z"
2013,1,3,1643,1535,68,1953,1850,63,"AA",763,"N3EWAA","LGA","DFW",223,1389,15,35,"2013-01-03T20:00:00Z"
2013,1,3,1711,1600,71,2028,1925,63,"AA",1467,"N3BLAA","LGA","MIA",170,1096,16,0,"2013-01-03T21:00:00Z"
2013,1,3,1732,1619,73,1837,1726,71,"EV",4299,"N11547","EWR","DCA",42,199,16,19,"2013-01-03T21:00:00Z"
2013,1,3,1758,1550,128,2240,2050,110,"AA",1635,"N5CCAA","JFK","SJU",193,1598,15,50,"2013-01-03T20:00:00Z"
2013,1,3,1801,1635,86,2006,1845,81,"B6",1085,"N328JB","JFK","CLT",95,541,16,35,"2013-01-03T21:00:00Z"
2013,1,3,1821,1530,171,2131,1910,141,"AA",85,"N357AA","JFK","SFO",328,2586,15,30,"2013-01-03T20:00:00Z"
2013,1,3,1834,1540,174,2040,1744,176,"EV",4207,"N34110","EWR","MSP",152,1008,15,40,"2013-01-03T20:00:00Z"
2013,1,3,1839,1700,99,2056,1950,66,"AA",575,"N631AA","JFK","EGE",239,1747,17,0,"2013-01-03T22:00:00Z"
2013,1,3,1845,1750,55,2149,2045,64,"B6",527,"N517JB","EWR","MCO",149,937,17,50,"2013-01-03T22:00:00Z"
2013,1,3,1847,1725,82,2102,1855,127,"MQ",4255,"N630MQ","JFK","BNA",164,765,17,25,"2013-01-03T22:00:00Z"
2013,1,3,1910,1749,81,2021,1909,72,"B6",1307,"N203JB","JFK","IAD",52,228,17,49,"2013-01-03T22:00:00Z"
2013,1,3,1933,1730,123,2131,1953,98,"F9",511,"N261AV","LGA","DEN",208,1620,17,30,"2013-01-03T22:00:00Z"
2013,1,3,1941,1759,102,2246,2139,67,"UA",979,"N402UA","EWR","PHX",274,2133,17,59,"2013-01-03T22:00:00Z"
2013,1,3,1946,1850,56,2314,2212,62,"DL",2159,"N371DA","JFK","MCO",150,944,18,50,"2013-01-03T23:00:00Z"
2013,1,3,2001,1835,86,2101,1950,71,"MQ",3944,"N645MQ","JFK","BWI",40,184,18,35,"2013-01-03T23:00:00Z"
2013,1,3,2007,1845,82,2155,2030,85,"MQ",4517,"N736MQ","LGA","CRW",79,444,18,45,"2013-01-03T23:00:00Z"
2013,1,3,2008,1540,268,2339,1909,270,"DL",2027,"N338NW","JFK","FLL",158,1069,15,40,"2013-01-03T20:00:00Z"
2013,1,3,2012,1600,252,2314,1857,257,"B6",369,"N558JB","LGA","PBI",151,1035,16,0,"2013-01-03T21:00:00Z"
2013,1,3,2022,1840,102,2209,2049,80,"DL",2131,"N329NB","LGA","DTW",82,502,18,40,"2013-01-03T23:00:00Z"
2013,1,3,2033,1845,108,2235,2050,105,"EV",4227,"N13994","EWR","GRR",101,605,18,45,"2013-01-03T23:00:00Z"
2013,1,3,2036,1935,61,2345,2240,65,"AA",791,"N3CNAA","LGA","DFW",221,1389,19,35,"2013-01-04T00:00:00Z"
2013,1,3,2042,1856,106,2355,2204,111,"UA",891,"N449UA","LGA","IAH",221,1416,18,56,"2013-01-03T23:00:00Z"
2013,1,3,2048,1930,78,2340,2229,71,"B6",39,"N523JB","JFK","PBI",147,1028,19,30,"2013-01-04T00:00:00Z"
2013,1,3,2056,1605,291,2239,1754,285,"9E",3459,"N928XJ","JFK","BNA",125,765,16,5,"2013-01-03T21:00:00Z"
2013,1,3,2056,2025,31,48,2341,67,"B6",1069,"N198JB","JFK","AUS",255,1521,20,25,"2013-01-04T01:00:00Z"
2013,1,3,2100,1930,90,2230,2115,75,"EV",3274,"N12967","LGA","CLE",69,419,19,30,"2013-01-04T00:00:00Z"
2013,1,3,2114,1836,158,2240,2010,150,"B6",130,"N329JB","JFK","BUF",61,301,18,36,"2013-01-03T23:00:00Z"
2013,1,3,2119,1936,103,2225,2056,89,"EV",5693,"N832AS","LGA","IAD",42,229,19,36,"2013-01-04T00:00:00Z"
2013,1,3,2211,2045,86,2346,2216,90,"9E",3395,"N934XJ","JFK","DCA",43,213,20,45,"2013-01-04T01:00:00Z"
2013,1,3,2257,2000,177,45,2224,141,"9E",3439,"N931XJ","JFK","CVG",90,589,20,0,"2013-01-04T01:00:00Z"
2013,1,4,106,2245,141,201,2356,125,"B6",608,"N192JB","JFK","PWM",44,273,22,45,"2013-01-05T03:00:00Z"
2013,1,4,1100,955,65,1322,1220,62,"MQ",4654,"N517MQ","LGA","ATL",127,762,9,55,"2013-01-04T14:00:00Z"
2013,1,4,1112,855,137,1310,1104,126,"9E",3353,"N600LR","JFK","DTW",92,509,8,55,"2013-01-04T13:00:00Z"
2013,1,4,1152,855,177,1319,1038,161,"EV",3815,"N13989","EWR","GSO",69,445,8,55,"2013-01-04T13:00:00Z"
2013,1,4,1215,1129,46,1538,1437,61,"B6",133,"N570JB","JFK","RSW",174,1074,11,29,"2013-01-04T16:00:00Z"
2013,1,4,1300,1200,60,1535,1430,65,"MQ",4658,"N8EGMQ","LGA","ATL",119,762,12,0,"2013-01-04T17:00:00Z"
2013,1,4,1305,1030,155,1452,1210,162,"AA",321,"N456AA","LGA","ORD",118,733,10,30,"2013-01-04T15:00:00Z"
2013,1,4,1317,1155,82,1423,1304,79,"9E",3483,"N905XJ","JFK","BOS",39,187,11,55,"2013-01-04T16:00:00Z"
2013,1,4,1323,1225,58,1453,1348,65,"B6",66,"N179JB","JFK","BUF",67,301,12,25,"2013-01-04T17:00:00Z"
2013,1,4,1343,1218,85,1536,1415,81,"EV",4641,"N21144","EWR","CLT",90,529,12,18,"2013-01-04T17:00:00Z"
2013,1,4,1352,1240,72,1701,1555,66,"AA",2041,"N617AA","JFK","MIA",161,1089,12,40,"2013-01-04T17:00:00Z"
2013,1,4,1430,1240,110,1717,1540,97,"AA",1853,"N501AA","EWR","DFW",208,1372,12,40,"2013-01-04T17:00:00Z"
